"xmlns","series","url","limit","offset","total","RaceTable__season","RaceTable__Races__season","RaceTable__Races__round","RaceTable__Races__url","RaceTable__Races__raceName","RaceTable__Races__Circuit__circuitId","RaceTable__Races__Circuit__url","RaceTable__Races__Circuit__circuitName","RaceTable__Races__Circuit__Location__lat","RaceTable__Races__Circuit__Location__long","RaceTable__Races__Circuit__Location__locality","RaceTable__Races__Circuit__Location__country","RaceTable__Races__date","RaceTable__Races__time","RaceTable__Races__QualifyingResults__number","RaceTable__Races__QualifyingResults__position","RaceTable__Races__QualifyingResults__Driver__driverId","RaceTable__Races__QualifyingResults__Driver__permanentNumber","RaceTable__Races__QualifyingResults__Driver__code","RaceTable__Races__QualifyingResults__Driver__url","RaceTable__Races__QualifyingResults__Driver__givenName","RaceTable__Races__QualifyingResults__Driver__familyName","RaceTable__Races__QualifyingResults__Driver__dateOfBirth","RaceTable__Races__QualifyingResults__Driver__nationality","RaceTable__Races__QualifyingResults__Constructor__constructorId","RaceTable__Races__QualifyingResults__Constructor__url","RaceTable__Races__QualifyingResults__Constructor__name","RaceTable__Races__QualifyingResults__Constructor__nationality","RaceTable__Races__QualifyingResults__Q1","RaceTable__Races__QualifyingResults__Q2","RaceTable__Races__QualifyingResults__Q3"
"http://ergast.com/mrd/1.4","f1","http://ergast.com/api/f1/2018/qualifying.json","500","0","420","2018","2018","1","https://en.wikipedia.org/wiki/2018_Australian_Grand_Prix","Australian Grand Prix","albert_park","http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit","Albert Park Grand Prix Circuit","-37.8497","144.968","Melbourne","Australia","2018-03-25","05:10:00Z","44","1","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","1:22.824","1:22.051","1:21.164"
"","","","","","","","","","","","","","","","","","","","","7","2","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","1:23.096","1:22.507","1:21.828"
"","","","","","","","","","","","","","","","","","","","","5","3","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","1:23.348","1:21.944","1:21.838"
"","","","","","","","","","","","","","","","","","","","","33","4","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","1:23.483","1:22.416","1:21.879"
"","","","","","","","","","","","","","","","","","","","","3","5","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","1:23.494","1:22.897","1:22.152"
"","","","","","","","","","","","","","","","","","","","","20","6","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","1:23.909","1:23.300","1:23.187"
"","","","","","","","","","","","","","","","","","","","","8","7","grosjean","8","GRO","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain","Grosjean","1986-04-17","French","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","1:23.671","1:23.468","1:23.339"
"","","","","","","","","","","","","","","","","","","","","27","8","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","1:23.782","1:23.544","1:23.532"
"","","","","","","","","","","","","","","","","","","","","55","9","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","1:23.529","1:23.061","1:23.577"
"","","","","","","","","","","","","","","","","","","","","77","10","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","1:23.686","1:22.089",""
"","","","","","","","","","","","","","","","","","","","","14","11","alonso","14","ALO","http://en.wikipedia.org/wiki/Fernando_Alonso","Fernando","Alonso","1981-07-29","Spanish","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","1:23.597","1:23.692",""
"","","","","","","","","","","","","","","","","","","","","2","12","vandoorne","2","VAN","http://en.wikipedia.org/wiki/Stoffel_Vandoorne","Stoffel","Vandoorne","1992-03-26","Belgian","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","1:24.073","1:23.853",""
"","","","","","","","","","","","","","","","","","","","","11","13","perez","11","PER","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio","Pérez","1990-01-26","Mexican","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","1:24.344","1:24.005",""
"","","","","","","","","","","","","","","","","","","","","18","14","stroll","18","STR","http://en.wikipedia.org/wiki/Lance_Stroll","Lance","Stroll","1998-10-29","Canadian","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","1:24.464","1:24.230",""
"","","","","","","","","","","","","","","","","","","","","31","15","ocon","31","OCO","http://en.wikipedia.org/wiki/Esteban_Ocon","Esteban","Ocon","1996-09-17","French","force_india","http://en.wikipedia.org/wiki/Racing_Point_Force_India","Force India","Indian","1:24.503","1:24.786",""
"","","","","","","","","","","","","","","","","","","","","28","16","brendon_hartley","28","HAR","http://en.wikipedia.org/wiki/Brendon_Hartley","Brendon","Hartley","1989-11-10","New Zealander","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","1:24.532","",""
"","","","","","","","","","","","","","","","","","","","","9","17","ericsson","9","ERI","http://en.wikipedia.org/wiki/Marcus_Ericsson","Marcus","Ericsson","1990-09-02","Swedish","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","1:24.556","",""
"","","","","","","","","","","","","","","","","","","","","16","18","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","sauber","http://en.wikipedia.org/wiki/Sauber","Sauber","Swiss","1:24.636","",""
